ZOTUID,ID_str,Kingdom,Phylum,Class,Order,Family,Genus,Species,metabarcode,fishlist_old,fishlist_new,gbifSB,gbif_temptrans,NC,Australian Faunal Directory,Fishbase,Plausible Order [GBIF],Plausible Family [GBIF],Plausible Genus [GBIF],Plausible Species [all platforms],Plausible Rank [GBIF],Possible match on LitList,Summary,Species Hit,Nr. of Genus in DB,Action,Reason,Status
ZOTU142,Eukaryota_Chordata_Actinopteri_Siluriformes_Ariidae_Netuma_NA,Eukaryota,Chordata,Actinopteri,Siluriformes,Ariidae,Netuma,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU143,Eukaryota_Chordata_Actinopteri_Pleuronectiformes_Soleidae_Dexillus_Dexillus muelleri,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Dexillus,Dexillus muelleri,MiFish12S,0,0,0,0,0,Dist. in SB,"Indo-West Pacific: Sri Lanka to Samoa and Tonga, north to the Philippines, south to northern Australia.",yes,yes,yes,yes,NA,NA,NA,1,1,NA,,NA
ZOTU145,Eukaryota_Chordata_Actinopteri_Syngnathiformes_Callionymidae_Callionymus_Callionymus enneactis,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,Callionymus enneactis,MiFish12S,0,0,1,1,0,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,,NA
ZOTU146,Eukaryota_Chordata_Actinopteri_Syngnathiformes_Syngnathidae_Hippocampus_NA,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Syngnathidae,Hippocampus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU147,Eukaryota_Chordata_Actinopteri_Beloniformes_Belonidae_NA_NA,Eukaryota,Chordata,Actinopteri,Beloniformes,Belonidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU148,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_Vanderhorstia_Vanderhorstia ornatissima,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Vanderhorstia,Vanderhorstia ornatissima,MiFish12S,0,0,0,1,0,Dist. in SB,"Indo-Pacific: East Africa to Samoa, north to the Ryukyu Islands (Ref. 559).",yes,yes,yes,yes,Species,NA,NA,1.0 and 0.98,3,NA,,NA
ZOTU149,Eukaryota_Chordata_Actinopteri_Gobiiformes_NA_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU15,Eukaryota_Chordata_Actinopteri_Clupeiformes_Clupeidae_Herklotsichthys_Herklotsichthys quadrimaculatus,Eukaryota,Chordata,Actinopteri,Clupeiformes,Clupeidae,Herklotsichthys,Herklotsichthys quadrimaculatus,MiFish12S,0,0,0,0,0,Dist. in SB,"Indo-Pacific: widespread in Indian Ocean and western Pacific, including entire eastern coast of Africa, Madagascar, Mauritius eastward to Japan, eastern Australia, and Samoa (Ref. 188). Introduced into Hawaii, apparently by accident, and now abundant (Ref. 188). At least one country reports adverse ecological impact after introduction.",yes,yes,yes,yes,Species,NA,is even in MC,"0.83, 1.0, and 0.98",2,NA,,NA
ZOTU150,Eukaryota_Chordata_Actinopteri_Pleuronectiformes_Paralichthyidae_Pseudorhombus_Pseudorhombus dupliciocellatus,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Paralichthyidae,Pseudorhombus,Pseudorhombus dupliciocellatus,MiFish12S,0,0,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU151,Eukaryota_Chordata_Actinopteri_Clupeiformes_Dussumieriidae_Etrumeus_Etrumeus teres,Eukaryota,Chordata,Actinopteri,Clupeiformes,Dussumieriidae,Etrumeus,Etrumeus teres,MiFish12S,0,0,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU152,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU153,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_Cryptocentrus_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Cryptocentrus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU154,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_NA_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU243,Eukaryota_Chordata_Actinopteri_Beloniformes_Hemiramphidae_Hemiramphus_Hemiramphus far,Eukaryota,Chordata,Actinopteri,Beloniformes,Hemiramphidae,Hemiramphus,Hemiramphus far,Fish16S,0,0,0,0,0,Dist in Northern Regions of AUS,"Indo-West Pacific: Red Sea and East Africa to Samoa, north to the Ryukyu Islands, south to northern Australia and New Caledonia. Migrated to the eastern part of the Mediterranean Sea via the Suez Canal.",yes,yes,yes,no,Genus,Hemiramphus robustus,Species more northern Australia,0.95,5,Reassigned to genus level,"Species distribution in northern, tropical regions near Shark Bay",done 10.05.2024
ZOTU156,Eukaryota_Chordata_Actinopteri_NA_NA_NA_NA,Eukaryota,Chordata,Actinopteri,NA,NA,NA,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU157,Eukaryota_Chordata_Actinopteri_Syngnathiformes_Callionymidae_Callionymus_NA,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Callionymidae,Callionymus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU158,Eukaryota_Chordata_Actinopteri_Pleuronectiformes_Soleidae_Liachirus_Liachirus melanospilos,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Soleidae,Liachirus,Liachirus melanospilos,MiFish12S,1,0,1,1,0,NA,NA,yes,yes,yes,yes,Species,NA,NA,NA,NA,NA,,NA
ZOTU159,Eukaryota_Chordata_Actinopteri_Gobiiformes_Gobiidae_Valenciennea_NA,Eukaryota,Chordata,Actinopteri,Gobiiformes,Gobiidae,Valenciennea,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,NA,NA,NA,NA,NA,,NA
ZOTU16,Eukaryota_Chordata_Actinopteri_Syngnathiformes_Mullidae_Upeneus_NA,Eukaryota,Chordata,Actinopteri,Syngnathiformes,Mullidae,Upeneus,NA,MiFish12S,NA,NA,NA,NA,NA,NA,NA,yes,yes,yes,NA,NA,Upeneus tragula,NA,NA,NA,NA,,NA
ZOTU160,Eukaryota_Chordata_Actinopteri_Pleuronectiformes_Bothidae_Engyprosopon_Engyprosopon grandisquama,Eukaryota,Chordata,Actinopteri,Pleuronectiformes,Bothidae,Engyprosopon,Engyprosopon grandisquama,MiFish12S,1,1,1,1,0,NA,NA,yes,yes,yes,yes,NA,NA,NA,NA,NA,NA,,NA
