TYPE,ACCESSION,ALIAS,sample_name
SAMPLE,ERS25062248,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13104,M2136
SAMPLE,ERS25062249,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13105,M2137
SAMPLE,ERS25062250,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13106,M2138
SAMPLE,ERS25062251,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13107,M2139
SAMPLE,ERS25062252,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13108,M2140
SAMPLE,ERS25062253,ena-SAMPLE-TAB-20-06-2025-06:18:14:778-13109,M2141
SAMPLE,ERS25062254,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13110,M2142
SAMPLE,ERS25062255,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13111,M2143
SAMPLE,ERS25062256,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13112,M2144
SAMPLE,ERS25062257,ena-SAMPLE-TAB-20-06-2025-06:18:14:779-13113,M2145
